pressure (mbar),pump speed (m3/h)
0.007035226,0.094974835
0.007235663,0.266469224
0.007436798,0.436824872
0.007637862,0.617201441
0.007844363,0.797578009
0.008056446,0.977954578
0.008258949,1.161775838
0.008435229,1.331192025
0.008586591,1.494031983
0.008789383,1.674721705
0.008925814,1.84583787
0.009178789,2.037353765
0.009511153,2.225917068
0.0097683,2.388041246
0.010167115,2.551990663
0.010629369,2.727857817
0.01106334,2.912931692
0.011515028,3.099132921
0.012092211,3.276503213
0.012717158,3.455627167
0.013543956,3.62974066
0.014191253,3.784885983
0.015102692,3.956673191
0.016072669,4.120139456
0.017181164,4.301455486
0.018612731,4.47224955
0.020434336,4.63103559
0.02253419,4.766318016
0.024849826,4.864021991
0.02740342,4.93097996
0.030219423,5.008869842
0.033324802,5.10110786
0.036749293,5.200178324
0.040525688,5.307447722
0.04469015,5.418133344
0.049282555,5.52950221
0.054346881,5.66683437
0.059931623,5.802800042
0.062457774,5.942217182
0.069056698,6.006108006
0.074695769,6.112792126
0.081813346,6.369893042
0.09022057,6.535238229
0.09817345,6.699900173
0.106827372,6.855679937
0.117374496,6.949391619
0.125743311,7.142699597
0.135300678,7.346571645
0.14199231,7.49041415
0.154508834,7.632785239
0.165311896,7.798443581
0.173636635,7.967703191
0.18873268,8.09280812
0.204458242,8.257318231
0.219188958,8.450680593
0.234433235,8.622760645
0.248637964,8.780379914
0.272971858,8.983166904
0.292317531,9.167289389
0.313312732,9.34327584
0.336114632,9.5035032
0.351932357,9.671818875
0.377640805,9.815690662
0.405484712,9.986762091
0.434244362,10.19320147
0.471658398,10.37507276
0.498097286,10.53535182
0.531818997,10.70426
0.583867474,10.89775486
0.624298751,11.0648805
0.676412989,11.23315203
0.716372732,11.41324012
0.769191748,11.56255184
0.825905174,11.73290748
0.886800148,11.91408433
0.958556655,12.07925555
1.044951707,12.25703199
1.137523172,12.43573841
1.248851179,12.60648123
1.365459072,12.76101538
1.469147755,12.89109464
1.623446956,13.01444657
1.790274031,13.15587819
1.974244428,13.30755849
2.177119812,13.41824411
2.400842879,13.52483026
2.647555957,13.63346615
2.919621525,13.7277539
3.21964483,13.83775628
3.550498837,13.94160946
3.915351742,14.06151888
4.317697306,14.14521634
4.761388313,14.22310622
5.250673464,14.31329451
5.790238058,14.39665035
6.385248865,14.47112401
7.041403592,14.5537966
7.764985453,14.65696653
8.562923328,14.71094285
9.442858119,14.76628566
10.41321591,14.81616252
11.48328867,14.87355506
12.6633232,14.92069894
13.96461929,14.95964388
15.3996379,14.97194228
16.9821205,14.98219095
18.72722063,14.98219095
20.65164905,14.98219095
22.7738337,14.98219095
25.11409623,14.98219095
27.69484653,14.98219095
30.54079739,14.98219095
33.67920108,14.98219095
37.14011035,14.98219095
40.95666621,14.98219095
45.16541527,14.98219095
49.80665971,14.98219095
54.92484318,14.98219095
60.56897645,14.99858882
66.79310664,15.03958349
73.65683483,15.04163323
81.22588679,15.03480078
89.57274229,15.0259186
98.77732923,14.99585584
108.927789,14.97740824
120.1213204,14.95759415
132.4651106,14.93163085
146.0773613,14.89951836
161.0884209,14.85305773
177.6420323,14.8052306
195.8967099,14.75535375
216.0272569,14.70889312
238.2264396,14.64603462
262.706833,14.54969713
289.7028569,14.46360832
319.4730198,14.38298546
352.3023952,14.31602749
388.505351,14.21764027
428.4285596,14.11925305
472.4543182,14.03043125
521.0042089,13.95527435
574.5431361,13.85962011
633.5837786,13.77558103
698.691498,13.70042412
770.4897535,13.59178823
849.6660714,13.44625714
936.9786291,13.31165796
1006.063182,13.22953196